unique_name,name,bat_style,bowl_style
MEK Hussey,Michael Edward Killeen Hussey,Left hand Bat,Right arm Medium
C Green,Cameron Donald Green,Right hand Bat,Right arm Fast medium
PJ Sangwan,Pradeep Jaibeer Sangwan,Right hand Bat,Left arm Medium
Sandeep Sharma,Sandeep Sharma,Right hand Bat,Right arm Medium
VS Malik,Vikramjeet Singh Malik,Right hand Bat,Right arm Medium
N Jagadeesan,Narayan Jagadeesan,Right hand Bat, 
IR Jaggi,Ishank Rajiv Jaggi,Right hand Bat,Legbreak Googly
Imran Tahir,Mohammad Imran Tahir,Right hand Bat,Legbreak Googly
Y Nagar,Yogesh Nagar,Right hand Bat,Right arm Offbreak
DP Conway,Devon Philip Conway,Left hand Bat,Right arm Medium
B Indrajith,Baba Indrajith,Right hand Bat,Legbreak Googly
L Ngidi,Lungisani True-man Ngidi,Right hand Bat,Right arm Fast medium
MDKJ Perera,Mathurage Don Kusal Janith Perera,Left hand Bat, 
SM Pollock,Shaun Maclean Pollock,Right hand Bat,Right arm Fast medium
T Banton,Tom Banton,Right hand Bat, 
Vijaykumar Vyshak,Vijaykumar Vyshak,Right hand Bat,Right arm Medium
A Tomar,Abhijeet Tomar,Right hand Bat,Right arm Offbreak
JW Hastings,John Wayne Hastings,Right hand Bat,Right arm Fast medium
SP Fleming,Stephen Paul Fleming,Left hand Bat, 
Rashid Khan,Rashid Khan Arman,Right hand Bat,Legbreak Googly
Harshit Rana,Harshit Pradeep Rana,Right hand Bat,Right arm Fast
DL Vettori,Daniel Luca Vettori,Left hand Bat,Slow Left arm Orthodox
K Rabada,Kagiso Rabada,Left hand Bat,Right arm Fast
P Chopra,Prashant Chopra,Right hand Bat,Legbreak Googly
CJ Jordan,Christopher James Jordan,Right hand Bat,Right arm Fast medium
Sanvir Singh,Sanvir Singh,Right hand Bat,Right arm Medium
AC Blizzard,Aiden Craig Blizzard,Left hand Bat,Left arm Medium
SK Warne,Shane Keith Warne,Right hand Bat,Legbreak Googly
K Yadav,Kuldip Yadav,Left hand Bat,Left arm Fast medium
DJG Sammy,Daren Julius Garvey Sammy,Right hand Bat,Right arm Medium
SN Khan,Sarfaraz Naushad Khan,Right hand Bat,Legbreak
B Stanlake,Billy James Stanlake,Left hand Bat,Right arm Fast
KD Karthik,Krishnakumar Dinesh Karthik,Right hand Bat,Right arm Offbreak
MA Starc,Mitchell Aaron Starc,Left hand Bat,Left arm Fast
SB Joshi,Sunil Bandacharya Joshi,Left hand Bat,Slow Left arm Orthodox
MN Samuels,Marlon Nathaniel Samuels,Right hand Bat,Right arm Offbreak
Younis Khan,Mohammad Younis Khan,Right hand Bat,"Right arm Medium, Legbreak"
P Sahu,Pardeep Sahu,Right hand Bat,Legbreak Googly
RV Patel,Ripal Vinubhai Patel,Right hand Bat,Right arm Medium fast
MM Patel,Munaf Musa Patel,Right hand Bat,Right arm Medium fast
DB Das,Debabrata Baidya Das,Right hand Bat,Legbreak Googly
Yudhvir Singh,Yudhvir Singh Charak,Right hand Bat,Right arm Medium fast
TR Birt,Travis Rodney Birt,Left hand Bat,Right arm Medium
AS Roy,Anukul Sudhakar Roy,Left hand Bat,Slow Left arm Orthodox
CJ McKay,Clinton James McKay,Right hand Bat,Right arm Fast medium
T Taibu,Tatenda Taibu,Right hand Bat,Right arm Medium
RA Shaikh,Rahil Akhil Ahmed Shaikh,Left hand Bat,Left arm Medium
M Shahrukh Khan,Masood Shahrukh Khan,Right hand Bat,Right arm Offbreak
M Prasidh Krishna,Muralikrishna Prasidh Krishna,Right hand Bat,Right arm Fast medium
SB Jakati,Shadab Bashir Jakati,Left hand Bat,Slow Left arm Orthodox
GHS Garton,George Henry Simmons Garton,Left hand Bat,Left arm Fast
WP Saha,Wriddhiman Prasanta Saha,Right hand Bat, 
AA Kazi,Abrar Anjum Kazi,Left hand Bat,Slow Left arm Orthodox
A Zampa,Adam Zampa,Right hand Bat,Legbreak Googly
MR Marsh,Mitchell Ross Marsh,Right hand Bat,Right arm Medium
Liton Das,Litton Kumer Das,Right hand Bat,Right arm Offbreak
PSP Handscomb,Peter Stephen Patrick Handscomb,Right hand Bat, 
DS Kulkarni,Dhawal Sunil Kulkarni,Right hand Bat,Right arm Medium
RS Hangargekar,Rajvardhan S Hangargekar,Right hand Bat,Right arm Fast medium
J Theron,Juan Theron,Right hand Bat,Right arm Medium fast
Harmeet Singh (2),Harmeet Singh Baddhan,Left hand Bat,Slow Left arm Orthodox
DA Warner,David Andrew Warner,Left hand Bat,Legbreak
MP Stoinis,Marcus Peter Stoinis,Right hand Bat,Right arm Medium
HM Amla,Hashim Mahomed Amla,Right hand Bat,"Right arm Medium, Right arm Offbreak"
TL Suman,Tirumalasetti Laxminarayana Suman,Right hand Bat,Right arm Offbreak
RG Sharma,Rohit Gurunath Sharma,Right hand Bat,Right arm Offbreak
A Ashish Reddy,Ammana Ashish Reddy,Right hand Bat,Right arm Medium
SK Trivedi,Siddharth Kishorkumar Trivedi,Right hand Bat,Right arm Medium
S Narwal,Sumit Narwal,Left hand Bat,Right arm Medium
B Chipli,Bharat Chipli,Right hand Bat,Right arm Medium
R Tewatia,Rahul Tewatia,Left hand Bat,Legbreak
SD Chitnis,Siddharth Dilip Chitnis,Right hand Bat,Right arm Offbreak
R Shepherd,Romario Shepherd,Right hand Bat,Right arm Fast medium
WPUJC Vaas,Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,Left hand Bat,Left arm Fast medium
SS Mundhe,Shrikant Shrihari Mundhe,Right hand Bat,Right arm Medium
Sunny Singh,Sunny Singh,Right hand Bat,Right arm Medium fast
Sunny Gupta,Sunny Gupta,Right hand Bat,Right arm Offbreak
TG Southee,Timothy Grant Southee,Right hand Bat,Right arm Medium fast
BAW Mendis,Balapuwaduge Ajantha Winslow Mendis,Right hand Bat,Right arm Offbreak
BCJ Cutting,Benjamin Colin James Cutting,Right hand Bat,Right arm Fast medium
BE Hendricks,Beuran Eric Hendricks,Left hand Bat,Left arm Fast medium
D Salunkhe,Dinesh Salunkhe,Right hand Bat,Legbreak
SA Asnodkar,Swapnil Ashok Asnodkar,Right hand Bat,Right arm Offbreak
AS Yadav,Arjun Shivlal Yadav,Right hand Bat,Right arm Offbreak
M Kaif,Mohammad Kaif,Right hand Bat,Right arm Offbreak
Rahmanullah Gurbaz,Rahmanullah Gurbaz,Right hand Bat, 
VRV Singh,Vikram Raj Vir Singh,Right hand Bat,Right arm Medium fast
JR Philippe,Joshua Ryan Philippe,Right hand Bat, 
Arjun Tendulkar,Arjun Sachin Tendulkar,Left hand Bat,Left arm Medium fast
Anmolpreet Singh,Anmolpreet Singh,Right hand Bat,Right arm Offbreak
RA Tripathi,Rahul Ajay Tripathi,Right hand Bat,Right arm Medium
Bipul Sharma,Bipul Sharma,Left hand Bat,Slow Left arm Orthodox
AA Noffke,Ashley Allan Noffke,Right hand Bat,Right arm Fast medium
LA Carseldine,Lee Andrew Carseldine,Left hand Bat,Left arm Medium
P Dogra,Paras Dogra,Right hand Bat,Legbreak
IC Pandey,Ishwar Chand Pandey,Right hand Bat,Right arm Medium
TD Paine,Timothy David Paine,Right hand Bat,Right arm Medium
SA Abbott,Sean Anthony Abbott,Right hand Bat,Right arm Fast medium
Arshdeep Singh,Arshdeep Singh,Left hand Bat,Left arm Medium fast
MS Dhoni,Mahendra Singh Dhoni,Right hand Bat,Right arm Medium
BW Hilfenhaus,Benjamin William Hilfenhaus,Right hand Bat,Right arm Fast medium
Kamran Akmal,Kamran Akmal,Right hand Bat, 
RP Singh,Rudra Pratap Singh,Right hand Bat,Left arm Fast medium
SN Thakur,Shardul Narendra Thakur,Right hand Bat,Right arm Medium
R Bishnoi,Rajesh Bishnoi,Right hand Bat,Right arm Medium fast
AS Raut,Abhishek Santosh Raut,Right hand Bat,Legbreak Googly
Y Gnaneswara Rao,Yalaka Gnaneswara Rao,Right hand Bat,Right arm Medium
RD Chahar,Rahul Desraj Chahar,Right hand Bat,Legbreak Googly
RR Bose,Ranadeb Ranjit Bose,Right hand Bat,Right arm Fast medium
OC McCoy,Obed  Christopher McCoy,Left hand Bat,Left arm Fast medium
GD McGrath,Glenn Donald McGrath,Right hand Bat,Right arm Fast medium
JP Behrendorff,Jason Paul Behrendorff,Right hand Bat,Left arm Fast medium
AC Gilchrist,Adam Craig Gilchrist,Left hand Bat,Right arm Offbreak
R Sharma,Rahul Sharma,Right hand Bat,Legbreak Googly
P Suyal,Pawan Shakland Suyal,Right hand Bat,Left arm Medium
K Santokie,Krishmar Santokie,Left hand Bat,Left arm Medium
S Nadeem,Shahbaz Nadeem,Right hand Bat,Slow Left arm Orthodox
DJ Malan,Dawid Johannes Malan,Left hand Bat,Legbreak
DAJ Bracewell,Douglas Andrew John Bracewell,Right hand Bat,Right arm Fast medium
R Rampaul,Ravindranath Rampaul,Left hand Bat,Right arm Fast medium
MJ Lumb,Michael John Lumb,Left hand Bat,Right arm Medium
C Ganapathy,Chandrasekar Ganapathy,Right hand Bat,Right arm Medium
RS Sodhi,Reetinder Singh Sodhi,Right hand Bat,Right arm Medium
P Dubey,Praveen Dubey,Right hand Bat,Legbreak Googly
AA Bilakhia,Azharuddin Anjum Bilakhia,Right hand Bat,Right arm Medium
AD Hales,Alexander Daniel Hales,Right hand Bat,Right arm Medium
O Thomas,Oshane Romaine Thomas,Left hand Bat,Right arm Fast
A Chopra,Aakash Chopra,Right hand Bat,"Right arm Medium, Right arm Offbreak"
MK Pandey,Manish Krishnanand Pandey,Right hand Bat,Right arm Medium
MB Parmar,Mohnish Bipinbhai Parmar,Right hand Bat,Right arm Offbreak
E Lewis,Evin Lewis,Left hand Bat, 
Mukesh Kumar,Mukesh Kumar,Right hand Bat,Right arm Medium
MF Maharoof,Mohamed Farveez Maharoof,Right hand Bat,Right arm Fast medium
LJ Wright,Luke James Wright,Right hand Bat,Right arm Medium
AT Rayudu,Ambati Thirupathi Rayudu,Right hand Bat,Right arm Offbreak
R Sathish,Rajagopal Sathish,Right hand Bat,Right arm Medium
R Dhawan,Rishi Dhawan,Right hand Bat,Right arm Medium fast
BJ Rohrer,Ben James Rohrer,Left hand Bat, 
R Dravid,Rahul Sharad Dravid,Right hand Bat,Right arm Offbreak
DW Steyn,Dale Willem Steyn,Right hand Bat,Right arm Fast
SS Cottrell,Sheldon Shane Cottrell,Right hand Bat,Left arm Fast medium
Mohsin Khan,Mohsin Khan,Left hand Bat,Left arm Medium fast
RP Meredith,Riley Patrick Meredith,Right hand Bat,Right arm Fast
Misbah-ul-Haq,Misbah-ul-Haq Khan Niazi,Right hand Bat,Legbreak
MJ Clarke,Michael John Clarke,Right hand Bat,Slow Left arm Orthodox
C Nanda,Chetanya Nanda,Right hand Bat,Legbreak
BA Bhatt,Bhargav Ashok Bhatt,Left hand Bat,Slow Left arm Orthodox
HH Gibbs,Herschelle Herman Gibbs,Right hand Bat,Right arm Bowler
GC Smith,Graeme Craig Smith,Left hand Bat,Right arm Offbreak
CM Gautam,Chidhambaram Muralidharen Gautam,Right hand Bat, 
KS Williamson,Kane Stuart Williamson,Right hand Bat,Right arm Offbreak
R Powell,Rovman Powell,Right hand Bat,Right arm Medium fast
AD Russell,Andre Dwayne Russell,Right hand Bat,Right arm Fast
Abdul Samad,Abdul Samad Farooq,Right hand Bat,Legbreak
TH David,Timothy Hays David,Right hand Bat,Right arm Offbreak
LR Shukla,Laxmi Ratan Shukla,Right hand Bat,Right arm Medium
JO Holder,Jason Omar Holder,Right hand Bat,Right arm Medium fast
AM Salvi,Aavishkar Madhav Salvi,Right hand Bat,Right arm Medium
OA Shah,Owais Alam Shah,Right hand Bat,Right arm Offbreak
DT Christian,Daniel Trevor Christian,Right hand Bat,Right arm Fast medium
Parvez Rasool,Parvez Ghulam Rasool Zargar,Right hand Bat,Right arm Offbreak
AP Majumdar,Anustup Prabir Majumdar,Right hand Bat,Legbreak Googly
G Gambhir,Gautam Gambhir,Left hand Bat,Legbreak
MK Tiwary,Manoj Kumar Tiwary,Right hand Bat,Legbreak Googly
JD Unadkat,Jaydev Dipakbhai Unadkat,Right hand Bat,Left arm Medium
R Sai Kishore,Ravisrinivasan Sai Kishore,Left hand Bat,Slow Left arm Orthodox
Anand Rajan,Anand Rajan,Right hand Bat,Right arm Medium
V Pratap Singh,Veer Pratap Singh,Right hand Bat,Right arm Medium
YV Takawale,Yogesh Vijay Takawale,Right hand Bat, 
LS Livingstone,Liam Stephen Livingstone,Right hand Bat,"Right arm Offbreak, Legbreak"
M Vohra,Manan Vohra,Right hand Bat,Right arm Medium
RK Bhui,Ricky Kannakumar Bhui,Right hand Bat,Legbreak Googly
Mujeeb Ur Rahman,Mujeeb Ur Rahman,Right hand Bat,Right arm Offbreak
RA Bawa,Raj Angad Bawa,Left hand Bat,Right arm Medium fast
F Behardien,Farhaan Behardien,Right hand Bat,Right arm Fast medium
MJ Santner,Mitchell Josef Santner,Left hand Bat,Slow Left arm Orthodox
A Nel,Andre Nel,Right hand Bat,Right arm Fast medium
LE Plunkett,Liam Edward Plunkett,Right hand Bat,Right arm Fast
AK Markram,Aiden Kyle Markram,Right hand Bat,Right arm Offbreak
NB Singh,Nathu Bharat Singh,Right hand Bat,Right arm Medium
